sample_id,master_seed,m,n_seeds,mobility_corr_length,mobility_spectral_decay,severity,environment,rho_target,s_level,rho_realized_pearson,rho_realized_spearman
0,4242,0.8291373381988305,2,0.1850916623396618,2.9320254100511374,0.09033203125,train_rho95,0.95,-2.2031806031007752,0.933906123780515,0.9467508328691453
1,4242,0.8723191784400306,6,0.10647024551809949,3.8555320902852834,0.370361328125,eval_id,0.95,0.25683046834939677,0.9274251054933151,0.9360922674716526
2,4242,1.5398178238328954,5,0.18110878309197637,3.670238717260146,0.46142578125,eval_broken,0.0,-0.12139167615519163,-0.002362902911009867,0.004906349045595393
3,4242,1.5413509957464873,5,0.16738030720662656,3.9070822842298325,0.5078125,control_train,0.0,0.1846886842215397,0.011508354367057064,0.020079617020634394
4,4242,1.7366889154037852,3,0.15003339868905244,3.1506342992000453,0.405517578125,train_rho95,0.95,0.2848481918933708,0.933906123780515,0.9467508328691453
5,4242,1.591907016073302,4,0.18978306807322431,2.9100114220877322,0.45703125,control_train,0.0,-0.25515050328556216,0.011508354367057064,0.020079617020634394
6,4242,1.1143477612137234,4,0.17832246461300091,3.636803958907526,0.260498046875,train_rho95,0.95,-0.6264783251150123,0.933906123780515,0.9467508328691453
7,4242,1.9119559194897526,3,0.1394674333253162,3.517786666803603,0.297119140625,eval_broken,0.0,-0.00042927978413405664,-0.002362902911009867,0.004906349045595393
8,4242,0.6155546979963264,3,0.19593386301998145,3.7120720951466675,0.176513671875,train_rho80,0.8,-0.527275025151326,0.7939566494466146,0.7927183403671275
9,4242,1.6766987047250432,3,0.17651901779646215,3.480414400335433,0.32666015625,control_train,0.0,0.15162233662326807,0.011508354367057064,0.020079617020634394
10,4242,1.7530060650962183,5,0.15843352495917806,2.7346647063271683,0.522705078125,control_train,0.0,-0.44002035329326183,0.011508354367057064,0.020079617020634394
11,4242,0.7972429236287442,3,0.16060372906521397,3.479638249898193,0.17431640625,control_train,0.0,-1.5407980141232678,0.011508354367057064,0.020079617020634394
12,4242,0.7855255200547344,5,0.14304699169276153,3.031686954732659,0.260009765625,train_rho95,0.95,-0.15622245136813032,0.933906123780515,0.9467508328691453
