dim,abs_slope_S,abs_slope_C,run_id,config_hash,claim
0,0.5986198900143306,0.21112069257100424,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
1,2.313830509265264,1.3840403129259746,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
2,2.7368499064048133,0.5696077474355697,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
3,3.9107742935816447,1.3295247192382813,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
4,1.4780299272537232,0.44903157734870913,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
5,0.5440993288358053,1.474354502360026,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
6,1.4950490719477336,0.37138185371955235,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
7,5.336774000446002,1.5271720399856568,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
8,0.33204665493965146,1.1648969524701436,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
9,3.4048593043486277,0.9307175116539002,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
10,0.15926830172538758,0.2407434570590655,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
11,1.1463161358038585,1.5658701190948485,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
12,3.2487061410744986,0.042531447172164914,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
13,1.1448325629234315,0.9971826979716619,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
14,0.12993662810325624,0.004777992367744446,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
15,2.311097689708074,0.4785338152249654,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
16,0.06015718730290731,0.4964756730000178,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
17,1.2654021939635276,0.5548817533651987,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
18,1.3983553291956583,2.5301821366945902,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
19,0.466713278055191,0.08779131694634755,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
20,1.5242491244475047,1.5144529809951783,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
21,0.58369710846742,0.9409765006701152,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
22,1.8666434540748595,1.653132364432017,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
23,1.6733461607893307,1.7195898226102193,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
24,1.263882322470347,1.6960797293980916,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
25,0.9395105445384979,0.9914055731296539,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
26,0.5828891646265983,0.24708359795808793,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
27,0.044526718844970066,0.139055213034153,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
28,0.4171464632352193,0.08223408403992653,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
29,0.3854391698439916,0.35438247613112134,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
30,0.7304109269976616,0.1724064979144993,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
31,0.8520540782411893,0.0484233588774999,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
32,1.2061088703870773,0.7060735820929209,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
33,0.8893154963652293,0.8279521957238515,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
34,0.009685284535090129,0.4526146767934163,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
35,0.2356063140630722,0.3894610220193863,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
36,3.6010954195658367,1.7647594323158264,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
37,0.8135174650947253,0.8212783040205638,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
38,0.21549709351857504,0.1174167994260788,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
39,0.07637990554173787,0.2470860472122828,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
40,16.140239414532978,0.8310051093101501,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
41,0.22517502481738727,0.1568695027033488,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
42,9.340895236973962,0.48086795697609586,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
43,0.18550410916407903,0.09623431795835495,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
44,1.2366235218048096,1.5112063164710998,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
45,2.7722691377798716,1.0600943311055502,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
46,0.3973890033562978,0.21592855854829152,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
47,0.963623939593633,0.3794916869401932,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
48,0.7116208633581798,0.09142418829600016,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
49,0.5840303354263305,1.499257938861847,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
50,0.962187242825826,0.41266315641005835,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
51,1.7890027209917705,1.3070907606283824,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
52,1.1973877420425416,1.0079180251757305,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
53,0.9305319998661677,0.5982105685075124,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
54,7.238796075304349,2.202963829835256,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
55,0.41478875080744426,0.1537658005555471,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
56,0.39363826998074847,0.11321554406483968,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
57,3.3200599752863247,0.13528321226437887,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
58,6.2938127426306405,0.2095596358180046,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
59,0.46454299823443096,1.5213497228622437,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
60,2.0383753505746522,0.36926394820213315,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
61,1.0567123503684999,0.8449581297238667,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
62,1.150452690442403,0.9290218434333801,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
63,3.6669960138003033,0.5055522008339564,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
64,0.08892340443531672,0.8159218230644862,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
65,2.2439473973910014,1.294757674853007,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
66,1.6322842466036478,1.2429584658145905,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
67,11.186732889811198,1.0428043028116227,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
68,2.3592663277983665,0.9722344795862834,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
69,6.9449163265228275,0.13209062067667643,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
70,1.5695779875119527,0.5183107612133027,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
71,0.5411748825112979,0.48157828048865,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
72,3.7364469793637594,1.5985747977892557,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
73,0.7593346257011095,0.25759839681784313,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
74,0.9688606926997503,0.6789904692173004,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
75,0.3744032126267751,0.16734132289886475,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
76,6.298582823753357,0.020493957996368408,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
77,0.5138803933461508,0.7087927771409352,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
78,5.903050631125768,0.09858258454004923,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
79,0.34425148749351503,0.012737640778223673,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
80,2.432751452922821,1.0755731089909872,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
81,0.8145711378455162,0.7679243491490682,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
82,0.26878531433145203,0.24227153279383978,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
83,1.6243845833937327,0.7009225158691407,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
84,0.5234690131346385,1.197763951698939,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
85,8.104977845350902,2.3031159785588584,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
86,1.0931835709810256,0.779235682964325,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
87,1.3604198174079258,1.578760631163915,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
88,0.30272674532731375,0.6506691276431084,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
89,11.983745515743891,0.7897925390005112,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
90,1.9004121797482172,1.1735833156108857,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
91,1.333695615053177,0.3479027436375618,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
92,0.8170958893895149,1.057866128404935,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
93,5.064940417210261,0.07859738222757975,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
94,11.467825555801392,0.7152108815511068,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
95,1.088488908469677,0.7987378676931063,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
96,1.0824436247348785,1.1275002456506094,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
97,1.236425130446752,0.967104258219401,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
98,0.6444915323257446,0.6151206679940223,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
99,0.07280984767278036,1.612416512966156,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
100,1.138021518488725,0.7288392416834831,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
101,0.19290066666404407,0.4687654805779457,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
102,5.564651527722677,0.0005397706031799316,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
103,4.530544513225555,0.47086110997200015,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
104,0.5387291583418846,0.02572589726249377,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
105,3.6856144241491955,0.7556087523301442,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
106,0.6989541090826193,0.6199800526946783,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
107,0.989721617559592,0.7803460373878479,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
108,0.6656778236428896,0.7698616220156351,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
109,4.033611020247141,0.19840306354562443,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
110,1.5601380462646484,0.05855852955579758,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
111,0.14533228327830633,0.18790025987227757,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
112,1.119286600013574,0.6442989031076432,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
113,7.14332517417272,1.6973097190856934,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
114,3.1197414696415264,1.0875546452999114,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
115,5.649404913345973,2.346167267958323,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
116,5.410149119695028,0.9870493830045064,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
117,0.7091902552048365,0.43704796677827834,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
118,1.5949051749308905,0.49994684983293214,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
119,0.4663892527880768,0.0988795457482338,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
120,1.3212913059194882,0.13474334784348807,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
121,0.26390070720513664,0.41946368926763533,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
122,0.2664051321347555,1.9496114500363668,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
123,2.4566987528006234,0.8799049194653829,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
124,5.016790681148569,0.18135430717468262,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
125,2.653062693874041,2.0679060798486075,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
126,4.188016591866811,1.2009946512381235,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
127,1.1037664165496825,1.547860724290212,phase5_audit_7d6ad5fa16_s4242,7d6ad5fa16,claim2
